Name: 济南综合, URL: http://124.128.73.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 510 ms, Speed: 0.16 M/s, Resolution: None
Name: 济南都市, URL: http://139.129.231.228:50060/rtp/239.21.1.63:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南都市, URL: http://139.129.231.228:3529/rtp/239.21.1.63:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南都市, URL: http://124.128.73.58:9901/tsfile/live/1004_1.m3u8$订阅源, Date: None, Delay: 510 ms, Speed: 0.16 M/s, Resolution: None
Name: 济南生活, URL: http://139.129.231.228:50060/rtp/239.21.1.64:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南生活, URL: http://139.129.231.228:3529/rtp/239.21.1.64:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南影视, URL: http://139.129.231.228:50060/rtp/239.21.1.65:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南影视, URL: http://139.129.231.228:3529/rtp/239.21.1.65:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南影视, URL: http://124.128.73.58:9901/tsfile/live/1005_1.m3u8$订阅源, Date: None, Delay: 510 ms, Speed: 0.16 M/s, Resolution: None
Name: 济南娱乐, URL: http://139.129.231.228:50060/rtp/239.21.1.66:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南娱乐, URL: http://139.129.231.228:3529/rtp/239.21.1.66:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南少儿, URL: http://139.129.231.228:50060/rtp/239.21.1.68:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南少儿, URL: http://139.129.231.228:3529/rtp/239.21.1.68:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南商务, URL: http://139.129.231.228:50060/rtp/239.21.1.67:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
Name: 济南商务, URL: http://139.129.231.228:3529/rtp/239.21.1.67:5002$山东电信组播源, Date: 2024-02-06, Delay: 5582 ms, Speed: 0.02 M/s, Resolution: None
Name: 济南教育, URL: http://139.129.231.228:50060/rtp/239.21.1.133:5002$山东电信组播源, Date: 2024-02-06, Delay: 2495 ms, Speed: 0.03 M/s, Resolution: None
